Date,3m8ox4pDb7,3m8ox4pDbC,3m8ox4pDbE,3m8ox4pUeB,3m8ox4pUeC,3m8ox4pUeF,3m8ox4plhC,3m8ox4plhE,3m8ox4plhH
2018-10-02,2.54,5.890000000000001,3.39,7.050000000000001,1.2600000000000005,4.880000000000002,-3.8400000000000007,0.5000000000000001,4.540000000000001
2018-10-08,2.5500000000000003,5.480000000000001,3.3600000000000008,6.69,1.2500000000000004,4.5200000000000005,-3.13,0.7600000000000002,4.140000000000001
2018-10-14,2.16,5.07,3.49,5.7,1.6600000000000001,4.01,-3.6300000000000003,0.45999999999999985,4.18
2018-10-20,1.6300000000000001,3.7700000000000005,2.34,4.45,0.4999999999999996,3.3000000000000003,-3.09,-0.5100000000000002,3.42
2018-10-26,1.7400000000000004,3.5700000000000003,2.2799999999999994,4.220000000000001,0.5799999999999998,3.6700000000000004,-2.5399999999999996,-0.6499999999999998,3.2800000000000002
2018-11-01,1.4400000000000004,3.2000000000000006,1.7600000000000002,6.170000000000001,0.6699999999999999,3.3,-2.59,-1.46,2.87
2018-11-07,0.8399999999999999,2.7900000000000005,1.7600000000000005,5.91,0.55,3.06,-2.39,-1.5799999999999998,2.62
2018-11-13,0.18,2.210000000000001,1.4699999999999998,4.73,0.10999999999999993,2.74,-2.4699999999999998,-1.5099999999999998,2.37
2018-11-19,-0.009999999999999967,1.9200000000000008,1.4800000000000002,4.210000000000001,0.2600000000000001,2.58,-2.17,-1.5000000000000002,1.6400000000000008
2018-11-25,-0.12999999999999992,1.4900000000000002,2.7700000000000005,3.8100000000000005,0.4000000000000001,2.47,-2.12,-0.39999999999999963,1.3400000000000007
2018-12-01,-0.35,1.1200000000000003,2.57,3.2899999999999996,0.15999999999999998,2.0700000000000003,-1.8699999999999999,-0.9100000000000004,0.6100000000000002
2018-12-07,-0.8899999999999999,0.49000000000000016,1.7299999999999998,2.5100000000000002,-0.38,1.5600000000000005,-1.69,-1.2800000000000007,0.06000000000000012
2018-12-13,-1.1100000000000003,0.23000000000000004,1.1499999999999995,2.710000000000001,-0.99,1.6000000000000005,-2.16,-1.3200000000000003,-0.37000000000000005
2018-12-19,-1.1700000000000002,0.17000000000000015,1.4,2.1900000000000004,-0.8999999999999999,1.21,-2.03,-0.6800000000000003,-0.59
2018-12-25,-1.7400000000000002,-0.44000000000000017,1.1700000000000002,3.3800000000000017,-1.4100000000000001,0.04000000000000009,-2.7699999999999996,-1.06,-0.9100000000000001
2018-12-31,-1.6099999999999999,-0.22999999999999976,1.4300000000000004,1.67,-1.55,0.5900000000000003,-2.7600000000000002,-0.8699999999999999,-0.47999999999999987
2019-01-06,-1.22,0.030000000000000276,0.9400000000000006,1.63,-1.9499999999999997,0.3499999999999999,-2.7800000000000002,-1.2199999999999998,-0.5900000000000001
2019-01-12,-1.0300000000000002,0.21,1.2500000000000002,1.8599999999999999,-1.7699999999999996,1.2700000000000005,-2.87,-1.51,0.04000000000000009
